Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,1,0.0,34.0,10.5,0.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,2,35.0,40.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,3,25.0,25.0,11.5,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,4,12.0,20.0,8.0,62.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,5,0.0,0.0,5.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,6,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,7,0.0,0.0,42.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,8,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,9,0.0,0.0,85.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,10,0.0,0.0,130.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,11,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,12,0.0,85.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,13,70.0,0.0,0.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,14,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunung Pati Provinsi :Jawa Tengah,Semarang,Gunung Pati,15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
