Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,1,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,2,29.0,1.0,35.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,42.0,1.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,3,3.0,70.0,47.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,4,0.0,21.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,5,3.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,6,0.0,34.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,7,54.0,18.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,8,0.0,29.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,9,38.0,149.0,9.0,24.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,10,30.0,22.0,0.0,11.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,11,28.0,18.0,30.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,12,5.0,7.0,4.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,13,15.0,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Ujung Barang (BPSDA) Provinsi :Jawa Tengah,Cilacap,-,14,64.0,0.0,0.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
