Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,1,17.8,1.5,62.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,14.5
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,2,2.0,6.0,49.5,2.5,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,3,3.8,10.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,4,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,5,4.2,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,6,27.0,6.7,19.0,70.5,11.0,0.0,19.7,0.0,0.0,0.0,0.0,1.5
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,7,54.0,0.0,40.0,1.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,8,2.5,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,9,29.0,2.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,5.0,0.0,33.5
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,10,25.9,0.0,0.0,0.0,0.0,0.0,0.0,43.1,0.0,13.8,11.4,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,11,0.0,2.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.5
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,12,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,15.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,13,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,14,0.0,15.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.4
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,15,0.0,20.0,0.0,0.0,0.0,3.9,8.0,10.0,0.0,0.0,42.6,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,16,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,17,0.0,14.0,76.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,18,0.0,24.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,19,0.0,41.0,3.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,20,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,2.6,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,21,0.0,2.3,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
