Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Reban Provinsi :Jawa Tengah,Batang,Reban,1,35.0,3.0,0.0,3.0,0.0,10.0,0.0,0.0,3.0,3.0,4.0,11.0
Reban Provinsi :Jawa Tengah,Batang,Reban,2,0.0,89.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,6.0
Reban Provinsi :Jawa Tengah,Batang,Reban,3,0.0,4.0,0.0,5.0,0.0,7.0,0.0,4.0,0.0,8.0,0.0,0.0
Reban Provinsi :Jawa Tengah,Batang,Reban,4,20.0,2.0,3.0,20.0,14.0,9.0,2.0,2.0,0.0,26.0,15.0,5.0
Reban Provinsi :Jawa Tengah,Batang,Reban,5,0.0,12.0,16.0,7.0,43.0,13.0,0.0,0.0,0.0,16.0,21.0,7.0
Reban Provinsi :Jawa Tengah,Batang,Reban,6,9.0,65.0,21.0,0.0,0.0,18.0,8.0,0.0,0.0,21.0,82.0,0.0
Reban Provinsi :Jawa Tengah,Batang,Reban,7,3.0,71.0,46.0,15.0,8.0,18.0,4.0,0.0,0.0,45.0,25.0,7.0
Reban Provinsi :Jawa Tengah,Batang,Reban,8,0.0,6.0,33.0,3.0,5.0,0.0,0.0,0.0,25.0,5.0,15.0,5.0
Reban Provinsi :Jawa Tengah,Batang,Reban,9,10.0,5.0,17.0,13.0,13.0,0.0,11.0,0.0,0.0,0.0,8.0,8.0
Reban Provinsi :Jawa Tengah,Batang,Reban,10,6.0,34.0,36.0,20.0,10.0,0.0,4.0,0.0,6.0,42.0,32.0,35.0
Reban Provinsi :Jawa Tengah,Batang,Reban,11,45.0,12.0,20.0,5.0,37.0,6.0,0.0,4.0,9.0,0.0,4.0,5.0
Reban Provinsi :Jawa Tengah,Batang,Reban,12,44.0,18.0,20.0,17.0,78.0,0.0,0.0,6.0,0.0,25.0,0.0,3.0
Reban Provinsi :Jawa Tengah,Batang,Reban,13,29.0,37.0,5.0,0.0,74.0,7.0,2.0,2.0,7.0,21.0,43.0,0.0
Reban Provinsi :Jawa Tengah,Batang,Reban,14,5.0,1.0,9.0,22.0,9.0,25.0,0.0,21.0,0.0,13.0,6.0,9.0
Reban Provinsi :Jawa Tengah,Batang,Reban,15,0.0,3.0,6.0,0.0,17.0,23.0,0.0,4.0,5.0,3.0,0.0,28.0
Reban Provinsi :Jawa Tengah,Batang,Reban,16,3.0,10.0,24.0,0.0,35.0,8.0,5.0,11.0,3.0,40.0,9.0,8.0
Reban Provinsi :Jawa Tengah,Batang,Reban,17,2.0,50.0,9.0,0.0,42.0,6.0,0.0,5.0,2.0,0.0,0.0,12.0
Reban Provinsi :Jawa Tengah,Batang,Reban,18,3.0,116.0,8.0,18.0,37.0,5.0,0.0,0.0,0.0,15.0,0.0,6.0
Reban Provinsi :Jawa Tengah,Batang,Reban,19,90.0,57.0,18.0,0.0,43.0,25.0,0.0,0.0,0.0,75.0,0.0,11.0
Reban Provinsi :Jawa Tengah,Batang,Reban,20,113.0,0.0,22.0,22.0,53.0,0.0,0.0,2.0,0.0,10.0,0.0,5.0
Reban Provinsi :Jawa Tengah,Batang,Reban,21,31.0,0.0,6.0,26.0,21.0,0.0,0.0,5.0,4.0,10.0,21.0,0.0
Reban Provinsi :Jawa Tengah,Batang,Reban,22,1.0,24.0,42.0,17.0,11.0,5.0,0.0,3.0,7.0,0.0,5.0,10.0
Reban Provinsi :Jawa Tengah,Batang,Reban,23,1.0,0.0,0.0,0.0,25.0,0.0,4.0,0.0,4.0,27.0,13.0,6.0
Reban Provinsi :Jawa Tengah,Batang,Reban,24,5.0,3.0,3.0,5.0,23.0,23.0,9.0,0.0,0.0,15.0,3.0,5.0
Reban Provinsi :Jawa Tengah,Batang,Reban,25,0.0,19.0,0.0,71.0,11.0,9.0,0.0,0.0,8.0,11.0,0.0,0.0
Reban Provinsi :Jawa Tengah,Batang,Reban,26,25.0,25.0,0.0,24.0,8.0,4.0,0.0,0.0,0.0,18.0,25.0,5.0
Reban Provinsi :Jawa Tengah,Batang,Reban,27,28.0,12.0,32.0,0.0,74.0,43.0,0.0,8.0,0.0,8.0,11.0,8.0
Reban Provinsi :Jawa Tengah,Batang,Reban,28,9.0,10.0,6.0,0.0,0.0,37.0,0.0,5.0,0.0,9.0,9.0,9.0
Reban Provinsi :Jawa Tengah,Batang,Reban,29,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,35.0,9.0
Reban Provinsi :Jawa Tengah,Batang,Reban,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,1,25.0,25.0,25.0,17.0,27.0,27.0,0.0,0.0,0.0,17.0,25.0,10.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,2,10.0,20.0,23.0,23.0,15.0,10.0,0.0,0.0,0.0,25.0,20.0,5.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,3,15.0,30.0,17.0,25.0,15.0,10.0,0.0,0.0,13.0,27.0,27.0,10.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,4,0.0,35.0,20.0,15.0,19.0,15.0,10.0,0.0,10.0,10.0,15.0,0.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,5,0.0,26.0,13.0,10.0,30.0,17.0,15.0,5.0,0.0,18.0,10.0,15.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,6,30.0,40.0,15.0,17.0,18.0,20.0,0.0,10.0,0.0,0.0,18.0,28.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,7,25.0,30.0,7.0,20.0,15.0,0.0,0.0,15.0,25.0,20.0,15.0,20.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,8,0.0,25.0,10.0,25.0,27.0,17.0,5.0,0.0,20.0,35.0,30.0,40.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,9,30.0,30.0,5.0,18.0,25.0,0.0,7.0,0.0,25.0,0.0,35.0,50.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,10,15.0,22.0,0.0,5.0,10.0,0.0,0.0,5.0,30.0,14.0,25.0,0.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,11,10.0,16.0,10.0,20.0,10.0,0.0,10.0,15.0,0.0,37.0,30.0,17.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,12,40.0,25.0,17.0,30.0,13.0,10.0,35.0,35.0,5.0,30.0,35.0,0.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,13,80.0,40.0,40.0,25.0,10.0,18.0,30.0,20.0,17.0,25.0,15.0,20.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,14,23.0,19.0,50.0,10.0,18.0,20.0,15.0,15.0,25.0,18.0,25.0,15.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,15,9.0,10.0,15.0,12.0,12.0,25.0,17.0,30.0,15.0,25.0,20.0,17.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,16,10.0,12.0,17.0,18.0,5.0,27.0,25.0,17.0,14.0,10.0,40.0,30.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,17,18.0,15.0,10.0,30.0,0.0,25.0,20.0,20.0,18.0,12.0,25.0,27.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,18,35.0,10.0,40.0,35.0,15.0,20.0,0.0,0.0,12.0,15.0,90.0,10.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,19,15.0,17.0,30.0,45.0,5.0,30.0,0.0,5.0,10.0,0.0,0.0,15.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,20,19.0,19.0,60.0,40.0,0.0,40.0,0.0,18.0,0.0,28.0,0.0,35.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,21,17.0,15.0,37.0,16.0,17.0,16.0,10.0,10.0,0.0,20.0,30.0,25.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,22,15.0,25.0,25.0,25.0,15.0,35.0,18.0,15.0,15.0,30.0,35.0,15.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,23,30.0,20.0,30.0,20.0,8.0,20.0,0.0,10.0,28.0,35.0,0.0,40.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,24,28.0,25.0,15.0,45.0,10.0,27.0,0.0,0.0,5.0,30.0,30.0,26.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,25,40.0,15.0,30.0,30.0,17.0,25.0,0.0,0.0,0.0,45.0,40.0,37.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,26,25.0,35.0,26.0,26.0,12.0,30.0,0.0,0.0,0.0,30.0,15.0,15.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,27,17.0,30.0,25.0,10.0,18.0,10.0,0.0,0.0,0.0,0.0,15.0,17.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,28,15.0,10.0,35.0,15.0,16.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,29,22.0,0.0,15.0,35.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,30,35.0,0.0,40.0,10.0,5.0,0.0,0.0,0.0,35.0,0.0,0.0,10.0
Salem Provinsi : Jawa Tengah,Brebes,Salem,31,40.0,0.0,30.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,1,0.0,1.0,3.0,23.0,0.0,0.0,0.0,0.0,4.0,55.0,0.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,2,54.0,32.0,33.0,0.0,45.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,3,0.0,6.0,3.0,2.0,35.0,0.0,14.0,0.0,2.0,33.0,0.0,28.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,4,0.0,1.0,25.0,8.0,0.0,0.0,1.0,17.0,0.0,9.0,0.0,9.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,5,0.0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,8.0,44.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,6,2.0,57.0,25.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,7,40.0,52.0,2.0,0.0,17.0,19.0,0.0,0.0,15.0,8.0,17.0,9.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,8,17.0,2.0,1.0,1.0,27.0,4.0,0.0,2.0,7.0,8.0,17.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,9,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,22.0,17.0,4.0,25.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,10,1.0,60.0,0.0,0.0,4.0,0.0,0.0,0.0,69.0,2.0,113.0,10.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,11,7.0,0.0,20.0,5.0,15.0,14.0,0.0,0.0,6.0,4.0,13.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,12,64.0,42.0,32.0,4.0,9.0,14.0,3.0,0.0,18.0,12.0,1.0,5.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,13,32.0,72.0,40.0,0.0,0.0,10.0,37.0,19.0,0.0,35.0,17.0,33.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,14,5.0,15.0,11.0,0.0,0.0,21.0,4.0,15.0,3.0,6.0,1.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,15,3.0,50.0,17.0,0.0,13.0,6.0,15.0,9.0,0.0,0.0,40.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,16,0.0,0.0,4.0,0.0,1.0,0.0,31.0,7.0,0.0,19.0,7.0,24.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,17,47.0,2.0,79.0,58.0,0.0,18.0,37.0,23.0,8.0,2.0,0.0,4.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,18,70.0,18.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,19,13.0,13.0,5.0,28.0,0.0,3.0,0.0,0.0,1.0,4.0,85.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,20,15.0,0.0,10.0,2.0,0.0,1.0,0.0,30.0,3.0,7.0,0.0,16.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,21,9.0,13.0,0.0,30.0,56.0,26.0,0.0,0.0,0.0,13.0,0.0,11.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,22,60.0,31.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,12.0,0.0,29.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,23,17.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,27.0,0.0,41.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,24,2.0,3.0,20.0,0.0,0.0,9.0,0.0,0.0,11.0,2.0,0.0,2.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,25,0.0,0.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,3.0,4.0,4.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,26,3.0,2.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,3.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,27,68.0,50.0,37.0,0.0,14.0,60.0,0.0,0.0,0.0,12.0,5.0,8.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,28,30.0,5.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,29,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Sirampog/Plompong Provinsi : Jawa Tengah,Brebes,Sirampog,31,7.0,0.0,35.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,1,21.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,2,5.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,3,0.0,13.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,4,0.0,12.0,53.0,28.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,6,61.0,8.0,6.0,1.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,7,0.0,26.0,10.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,3.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,8,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,9,14.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,14.0,0.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,10,11.0,19.0,4.0,4.0,0.0,8.0,0.0,0.0,3.0,7.0,14.0,70.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,11,11.0,4.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,12,14.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,3.0,0.0
PESAYANGAN Provinsi : Jawa Tengah,Tegal,Talang,13,1.0,9.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0
