Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,1,4.0,42.0,118.3,22.8,63.8,0.0,0.0,0.0,0.0,0.0,0.0,84.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,2,7.5,17.8,264.8,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,3,12.0,0.0,0.0,17.5,184.5,0.0,0.0,0.0,0.0,0.0,0.0,43.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,4,87.5,6.0,24.7,0.0,92.8,0.0,0.0,0.0,0.0,0.0,3.5,172.8
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,5,138.0,0.0,4.3,48.0,63.5,3.0,0.0,0.0,0.0,0.0,0.0,27.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,6,8.5,4.0,0.0,0.0,42.6,0.0,28.4,0.0,0.0,0.0,0.0,146.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,7,12.0,32.5,12.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,8,6.8,64.5,72.5,24.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,87.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,9,11.5,43.0,4.0,4.7,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,10,0.0,174.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,11,0.0,0.0,0.0,0.0,48.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,12,0.0,22.5,0.0,17.5,37.0,68.5,0.0,0.0,0.0,0.0,4.5,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,13,0.0,0.0,67.5,0.0,0.0,3.7,0.0,0.0,0.0,0.0,3.8,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,14,37.5,37.2,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,15,72.8,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,16,48.0,15.8,0.0,127.5,0.0,4.0,0.0,0.0,0.0,0.0,6.2,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,17,132.5,25.0,43.5,4.7,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,18,4.2,14.3,14.8,7.5,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,19,12.0,7.4,6.5,0.0,0.0,93.7,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,20,53.5,3.0,37.3,0.0,0.0,7.5,0.0,0.0,0.0,12.5,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,21,68.0,87.5,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,7.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,22,7.5,53.8,28.5,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,23,4.8,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,24,0.0,9.5,53.8,93.8,0.0,0.0,0.0,0.0,0.0,0.0,148.5,0.0
